days_left,average_ticket_price
1,21591.867151011935
2,30211.299801291603
3,28976.08356873823
4,25730.905652944653
5,26679.773367952523
6,24856.493902439026
7,25588.36735051727
8,24895.883995144788
9,25726.246072374226
10,25572.819134318102
11,22990.656069814555
12,22505.803322363266
13,22498.885384134916
14,22678.002362576783
15,21952.540851735015
16,20503.546237244896
17,20386.353949213273
18,19987.44516813087
19,19507.677374942636
20,19699.98338972624
21,19430.494057724958
22,19590.667385278717
23,19840.913451023276
24,19803.90889636197
25,19571.641791044774
26,19238.290278411685
27,19950.866194968552
28,19534.98604722478
29,19744.653118649367
30,19567.58083371789
31,19392.706611570247
32,19258.135307517085
33,19306.271739130436
34,19562.008265751716
35,19255.652996343983
36,19517.68844375963
37,19506.306516368128
38,19734.912315724814
39,19262.095555892614
40,19144.972439136425
41,19347.440459770114
42,19154.261659227337
43,19340.528893695922
44,19049.080174021132
45,19199.87630662021
46,19305.351623376624
47,18553.272038227056
48,18998.12685093781
49,18992.971888202796
