source_city,destination_city,total_flights,average_ticket_price,total_revenue,average_duration
Bangalore,Mumbai,12939,23128.618672231238,299261197,10.905072262153181
Mumbai,Bangalore,12885,23147.87380675204,298260354,11.612022506790842
Delhi,Mumbai,15289,19355.82981228334,295931282,10.367774216757145
Mumbai,Kolkata,12602,22379.146722742422,282022007,12.836848119346135
Mumbai,Delhi,14809,18725.32000810318,277303264,9.81805726247552
Kolkata,Mumbai,11467,22078.883578965728,253178558,12.991932501962152
Delhi,Bangalore,14012,17880.216314587495,250537591,10.3541250356837
Delhi,Kolkata,11934,20566.409418468244,245439530,12.735966147142618
Bangalore,Delhi,13756,17723.313972084907,243801907,9.77995565571387
Bangalore,Kolkata,10028,23500.061228560033,235658614,13.099143398484243
Mumbai,Chennai,10130,22781.89911154985,230780638,12.66590029615005
Kolkata,Bangalore,9824,22744.80842833876,223444998,13.792946864820847
Mumbai,Hyderabad,10470,21004.04670487106,219912369,13.26331041069723
Chennai,Mumbai,9338,22765.849646605267,212587504,12.374656243306918
Delhi,Chennai,10780,19369.881354359924,208807321,12.43396474953618
Kolkata,Delhi,10506,19422.35455929945,204051257,11.604988577955453
Hyderabad,Mumbai,10064,20080.865759141496,202093833,11.962923290937997
Bangalore,Hyderabad,8928,21226.121191756272,189506810,14.162432795698924
Chennai,Delhi,9783,18981.863947664315,185699575,11.149374425023
Kolkata,Hyderabad,7897,21500.011396732938,169785590,13.853107509180703
Hyderabad,Bangalore,7854,21347.177998472118,167660736,12.093316781257958
Hyderabad,Kolkata,7987,20823.89320145236,166320435,13.53532239889821
Chennai,Bangalore,6493,25081.85045433544,162856455,13.95259356229786
Delhi,Hyderabad,9328,17347.288379073758,161815506,12.51835012864494
Chennai,Kolkata,6983,22669.93240727481,158304138,14.515774022626378
Kolkata,Chennai,6653,23660.36104013227,157412382,14.774181572223059
Bangalore,Chennai,6410,23321.85007800312,149493059,14.480207488299532
Hyderabad,Delhi,8506,17243.945685398543,146677002,10.829816600047025
Hyderabad,Chennai,6395,21848.06598905395,139718382,13.293238467552774
Chennai,Hyderabad,6103,21591.345403899722,131771981,13.153984925446503
